,Scheme_Name,Min_Sip,Min_Lumpsum,Expense_Ratio,Fund_Size_Cr,Fund_Age_Yr,Fund_Manager,Sortino,Alpha,Sd,Beta,Sharpe,Risk_Level,Amc_Name,Rating,Category,Sub_Category,Returns_1Yr,Returns_3Yr,Returns_5Yr
236,Hdfc Gold Fund,100,100,0.18,"₹1,402Cr",10,Nirman Morakhia,1.03,-0.5,14.19,1.01,0.47,5,HDFC Mutual Fund,5,Other,FoFs Domestic,14.2,12.3,13.4
237,Hdfc Housing Opportunities Fund,100,100,1.28,"₹1,081Cr",5,Rakesh Vyas,2.5,0.23,19.34,1,1.23,6,HDFC Mutual Fund,0,Equity,Sectoral / Thematic Mutual Funds,9.8,27.1,7.9
238,Hdfc Hybrid Debt Fund,100,100,1.33,"₹2,695Cr",10,Shobhit Mehrotra,3.46,3.73,4.97,0.69,1.74,4,HDFC Mutual Fund,3,Hybrid,Conservative Hybrid Mutual Funds,6.0,13.3,8.4
239,Hdfc Hybrid Equity Fund,100,100,1.09,"₹18,729Cr",10,Chirag Setalvad,3.42,4.86,13.03,0.87,1.6,6,HDFC Mutual Fund,3,Hybrid,Aggressive Hybrid Mutual Funds,7.7,25.6,11.3
240,Hdfc Income Fund,100,100,0.51,₹528Cr,10,Shobhit Mehrotra,0.43,0.51,2.53,1.28,0.34,3,HDFC Mutual Fund,3,Debt,Medium to Long Duration Funds,3.8,5.2,6.1
241,Hdfc Index Fund,100,100,0.2,"₹4,210Cr",10,Nirman Morakhia,3.48,-0.64,16.76,1,1.31,6,HDFC Mutual Fund,4,Other,Index Funds,2.4,25.8,12.8
242,Hdfc Index Fund,100,100,0.2,"₹7,457Cr",10,Nirman Morakhia,3.24,-1.01,17.02,1.01,1.28,6,HDFC Mutual Fund,3,Other,Index Funds,0.9,26.0,12.0
243,Hdfc Infrastructure Fund,100,100,1.75,₹593Cr,10,Rakesh Vyas,3.12,2.65,23.69,0.88,1.3,6,HDFC Mutual Fund,1,Equity,Sectoral / Thematic Mutual Funds,16.5,34.3,5.3
244,Hdfc Large And Mid Cap Fund,100,100,1.03,"₹7,897Cr",10,Gopal Agrawal,3.56,4.97,17.78,0.98,1.55,6,HDFC Mutual Fund,3,Equity,Large & Mid Cap Funds,6.3,33.3,12.8
245,Hdfc Liquid Fund,300,5000,0.2,"₹49,008Cr",10,Anupam Joshi,3.68,1.34,0.38,0.78,0.79,2,HDFC Mutual Fund,2,Debt,Liquid Mutual Funds,5.6,4.3,5.3
246,Hdfc Low Duration Fund,100,100,0.43,"₹14,779Cr",10,Anupam Joshi,3.31,2.82,1.11,0.67,1.73,2,HDFC Mutual Fund,4,Debt,Low Duration Funds,5.4,6.2,6.7
247,Hdfc Medium Term Debt Fund,100,100,0.58,"₹3,538Cr",10,Shobhit Mehrotra,1.34,2.14,2.33,0.78,1.01,4,HDFC Mutual Fund,3,Debt,Medium Duration Funds,4.1,6.9,7.4
248,Hdfc Mid-Cap Opportunities Fund,100,100,0.95,"₹35,009Cr",10,Chirag Setalvad,3.64,2.45,16.86,0.93,1.77,6,HDFC Mutual Fund,3,Equity,Mid Cap Mutual Funds,11.9,34.2,13.1
249,Hdfc Money Market Fund,100,100,0.21,"₹15,176Cr",10,Vikas Agrawal,4.85,3.08,0.69,1.33,1.89,3,HDFC Mutual Fund,3,Debt,Money Market Funds,5.6,5.6,6.3
250,Hdfc Multi-Asset Fund,100,100,0.88,"₹1,643Cr",10,Srinivasan Ramamurthy,4.21,5.06,11.41,0.72,1.6,6,HDFC Mutual Fund,4,Hybrid,Multi Asset Allocation Mutual Funds,6.9,23.0,10.9
251,Hdfc Overnight Fund,300,100,0.1,"₹20,146Cr",10,Anil Bamboli,-0.53,0.53,0.35,0.42,-0.09,1,HDFC Mutual Fund,2,Debt,Overnight Mutual Funds,5.3,3.8,4.6
252,Hdfc Retirement Savings Fund,100,100,0.78,"₹2,696Cr",7,Srinivasan Ramamurthy,4.32,9.26,15.16,0.85,1.92,6,HDFC Mutual Fund,5,Solution Oriented,Retirement Funds,11.6,34.9,14.8
253,Hdfc Retirement Savings Fund,100,100,1.03,₹932Cr,7,Srinivasan Ramamurthy,3.27,3.03,3.23,0.43,1.88,6,HDFC Mutual Fund,4,Solution Oriented,Retirement Funds,8.0,24.5,12.3
254,Hdfc Retirement Savings Fund,100,100,1.0,₹140Cr,7,Shobhit Mehrotra,4.39,6.37,11.43,0.73,1.74,4,HDFC Mutual Fund,4,Solution Oriented,Retirement Funds,6.0,10.3,7.8
255,Hdfc Short Term Debt Fund,100,100,0.29,"₹11,028Cr",10,Anil Bamboli,2.33,4.24,1.87,1.45,1.23,3,HDFC Mutual Fund,3,Debt,Short Duration Funds,4.7,7.0,7.3
256,Hdfc Small Cap Fund,100,100,0.8,"₹14,648Cr",10,Chirag Setalvad,3.75,6.54,19.61,0.91,1.88,6,HDFC Mutual Fund,3,Equity,Small Cap Mutual Funds,12.5,43.5,13.5
257,Hdfc Tax Saver Fund,500,500,1.15,"₹9,723Cr",10,Roshi Jain,3.71,4.47,15.3,0.88,1.64,6,HDFC Mutual Fund,2,Equity,ELSS Mutual Funds,10.0,31.0,10.3
258,Hdfc Top 100 Fund,100,100,1.11,"₹22,139Cr",10,Rahul Baijal,3.3,1.75,17.08,0.97,1.39,6,HDFC Mutual Fund,2,Equity,Large Cap Mutual Funds,6.6,28.6,11.9
259,Hdfc Ultra Short Term Fund,100,100,0.34,"₹13,303Cr",5,Anil Bamboli,4.46,2.7,0.64,1.1,1.93,3,HDFC Mutual Fund,4,Debt,Ultra Short Duration Funds,5.4,5.5,
260,Hsbc Aggressive Hybrid Fund,500,5000,0.87,"₹4,636Cr",10,Shriram Ramanathan,2.41,0.57,12.27,0.81,1.26,6,HSBC Mutual Fund,2,Hybrid,Aggressive Hybrid Mutual Funds,-1.2,19.5,8.1
261,Hsbc Arbitrage Fund,500,5000,0.29,"₹2,344Cr",9,Ritesh Jain,1.54,1.63,0.7,0.63,1.12,1,HSBC Mutual Fund,4,Hybrid,Arbitrage Mutual Funds,5.4,4.7,5.5
262,Hsbc Asia Pacific (Ex Japan) Dyf – Direct Growth,500,5000,1.29,₹8Cr,9,Sonal Gupta,0.87,-,17.08,-,0.48,6,HSBC Mutual Fund,0,Other,FoFs Overseas,-4.2,13.6,5.7
263,Hsbc Balanced Advantage Fund,500,5000,0.78,"₹1,511Cr",10,Ritesh Jain,2.95,0.89,7.21,0.45,1.27,4,HSBC Mutual Fund,3,Hybrid,Dynamic Asset Allocation or Balanced Advantage,3.5,13.4,8.0
264,Hsbc Banking And Psu Debt Fund,500,5000,0.23,"₹3,779Cr",10,Jalpan Shah,0.64,5.62,2.39,3.36,0.47,3,HSBC Mutual Fund,1,Debt,Banking and PSU Mutual Funds,2.2,6.0,6.5
265,Hsbc Business Cycles Fund,500,5000,1.42,₹535Cr,9,Venugopal Manghat,3.13,2.69,17.41,0.97,1.46,6,HSBC Mutual Fund,0,Equity,Sectoral / Thematic Mutual Funds,7.0,28.0,8.7
266,Hsbc Conservative Hybrid Fund,500,5000,1.34,₹122Cr,10,Ritesh Jain,2.3,0.76,4.75,0.74,1.28,4,HSBC Mutual Fund,3,Hybrid,Conservative Hybrid Mutual Funds,2.3,10.3,7.5
267,Hsbc Corporate Bond Fund,500,5000,0.35,₹157Cr,2,Ritesh Jain,0.44,0.67,2.47,1.09,0.39,2,HSBC Mutual Fund,2,Debt,Corporate Bond Mutual Funds,1.7,32.4,13.3
268,Hsbc Corporate Bond Fund,500,5000,0.29,"₹6,772Cr",10,Shriram Ramanathan,0.67,1.19,3.55,1.68,0.47,3,HSBC Mutual Fund,1,Debt,Corporate Bond Mutual Funds,3.3,6.6,7.6
269,Hsbc Credit Risk Fund,500,5000,0.85,₹130Cr,10,Shriram Ramanathan,0.33,-1.87,3.73,-2.39,0.35,4,HSBC Mutual Fund,3,Debt,Credit Risk Funds,4.8,5.7,5.1
270,Hsbc Dynamic Bond Fund,500,5000,0.29,₹200Cr,10,Shriram Ramanathan,0.44,0.67,2.47,1.09,0.39,3,HSBC Mutual Fund,3,Debt,Dynamic Bond,4.7,5.4,6.8
271,Hsbc Elss Fund,500,500,1.16,"₹3,007Cr",10,Cheenu Gupta,2.8,-0.03,16.03,0.91,1.33,6,HSBC Mutual Fund,1,Equity,ELSS Mutual Funds,-1.2,24.1,8.0
272,Hsbc Equity Hybrid Fund,500,5000,1.0,₹474Cr,4,Neelotpal Sahai,2.41,0.57,12.27,0.81,1.26,6,HSBC Mutual Fund,3,Hybrid,Aggressive Hybrid Mutual Funds,1.7,32.4,13.3
273,Hsbc Equity Savings Fund,500,5000,0.62,₹150Cr,10,Ritesh Jain,4.47,5.57,6.24,0.85,1.86,3,HSBC Mutual Fund,2,Hybrid,Equity Savings Mutual Funds,2.9,15.5,7.5
274,Hsbc Flexi Cap Fund,500,5000,1.23,"₹3,097Cr",10,Vihang Naik,2.92,0.36,16.25,0.94,1.38,6,HSBC Mutual Fund,2,Equity,Flexi Cap Funds,-1.2,26.4,9.2
275,Hsbc Flexi Debt Fund,500,5000,0.94,₹54Cr,10,Ritesh Jain,0.44,0.67,2.47,1.09,0.39,3,HSBC Mutual Fund,2,Debt,Dynamic Bond,1.7,32.4,13.3
276,Hsbc Gilt Fund,500,5000,0.48,₹231Cr,10,Jalpan Shah,0.49,0.51,2.94,0.64,0.41,3,HSBC Mutual Fund,3,Debt,Gilt Mutual Funds,5.0,5.4,7.1
277,Hsbc Infrastructure Fund,500,5000,1.14,"₹1,476Cr",10,Venugopal Manghat,3.69,10.03,16.32,0.6,1.78,6,HSBC Mutual Fund,2,Equity,Sectoral / Thematic Mutual Funds,11.3,33.6,9.3
278,Hsbc Large & Mid Cap Fund,500,5000,1.08,"₹1,992Cr",4,Neelotpal Sahai,3.02,1.39,15.85,0.91,1.4,6,HSBC Mutual Fund,2,Equity,Large & Mid Cap Funds,-0.6,25.6,
279,Hsbc Large Cap Fund,500,5000,1.26,"₹1,405Cr",10,Neelotpal Sahai,2.6,-2.34,16.62,0.97,1.18,6,HSBC Mutual Fund,2,Equity,Large Cap Mutual Funds,0.0,23.3,10.6
280,Hsbc Liquid Fund,500,5000,0.12,"₹12,043Cr",10,Kapil Punjabi,4.42,1.38,0.38,0.77,0.91,2,HSBC Mutual Fund,3,Debt,Liquid Mutual Funds,5.7,4.3,5.3
281,Hsbc Low Duration Fund,500,5000,0.25,₹467Cr,10,Shriram Ramanathan,0.63,0.3,2.32,-0.78,0.58,2,HSBC Mutual Fund,3,Debt,Low Duration Funds,5.2,5.6,5.8
282,Hsbc Managed Solutions Conservative Fund,500,5000,0.54,₹34Cr,9,Gautam Bhupal,0.86,-1.07,4.45,0.49,0.55,3,HSBC Mutual Fund,2,Other,FoFs Domestic,3.2,6.7,5.9
283,Hsbc Managed Solutions Growth Fund,500,5000,1.06,₹34Cr,9,Gautam Bhupal,3.05,1.87,13.16,0.9,1.4,6,HSBC Mutual Fund,2,Other,FoFs Domestic,0.6,22.2,9.2
284,Hsbc Managed Solutions Moderate Fund,500,5000,0.76,₹58Cr,9,Gautam Bhupal,2.81,0.67,10.91,0.74,1.31,5,HSBC Mutual Fund,2,Other,FoFs Domestic,1.2,19.0,8.7
285,Hsbc Medium Duration Fund,500,5000,0.4,₹643Cr,8,Shriram Ramanathan,0.84,1.93,2.78,0.67,0.76,3,HSBC Mutual Fund,3,Debt,Medium Duration Funds,4.2,7.0,6.7
286,Hsbc Medium To Long Duration Fund,500,5000,0.68,₹41Cr,10,Jalpan Shah,0.11,-0.16,3.1,1.54,0.09,3,HSBC Mutual Fund,1,Debt,Medium to Long Duration Funds,2.7,4.5,6.5
287,Hsbc Midcap Fund,500,5000,0.74,"₹6,980Cr",10,Vihang Naik,3.33,-1.16,14.76,0.8,1.53,6,HSBC Mutual Fund,2,Equity,Mid Cap Mutual Funds,2.3,26.1,8.8
288,Hsbc Money Market Fund,500,5000,0.25,₹716Cr,10,Shriram Ramanathan,2.45,2.43,0.61,1.31,1.12,2,HSBC Mutual Fund,1,Debt,Money Market Funds,5.2,4.9,6.0
289,Hsbc Overnight Fund,500,5000,0.1,"₹2,759Cr",4,Kapil Punjabi,0.92,0.65,0.34,0.44,0.16,1,HSBC Mutual Fund,5,Debt,Overnight Mutual Funds,5.4,3.9,
290,Hsbc Short Duration Fund,500,5000,0.27,"₹3,592Cr",10,Shriram Ramanathan,1.18,4.85,1.72,2.63,0.78,2,HSBC Mutual Fund,2,Debt,Short Duration Funds,3.8,6.0,6.7
291,Hsbc Small Cap Fund,500,5000,0.77,"₹8,625Cr",9,Venugopal Manghat,4.16,9.87,17.95,0.82,2.08,6,HSBC Mutual Fund,3,Equity,Small Cap Mutual Funds,5.1,44.7,12.7
292,Hsbc Tax Saver Equity Fund,500,5000,1.3,₹175Cr,10,Gautam Bhupal,3.05,-1.65,16.52,0.96,1.26,6,HSBC Mutual Fund,2,Equity,ELSS Mutual Funds,-2.2,24.7,8.9
293,Hsbc Ultra Short Duration Fund,500,5000,0.22,"₹2,279Cr",3,Mahesh A Chhabria,3.5,2.48,0.54,1.17,1.69,2,HSBC Mutual Fund,3,Debt,Ultra Short Duration Funds,5.5,5.1,
294,Hsbc Value Fund,500,5000,0.84,"₹7,781Cr",10,Venugopal Manghat,3.18,6.92,17.01,0.96,1.69,6,HSBC Mutual Fund,3,Equity,Value Funds,6.8,33.0,11.6
295,Icici Pru All Seasons Bond Fund,100,5000,0.62,"₹6,754Cr",10,Manish Banthia,2.39,2.84,2.25,0.98,1.38,3,ICICI Prudential Mutual Fund,5,Debt,Dynamic Bond,6.5,7.5,8.2
296,Icici Pru Asset Allocator Fund,1000,5000,0.18,"₹18,393Cr",10,Dharmesh Kakkad,5.89,7.45,8.68,0.53,1.99,4,ICICI Prudential Mutual Fund,4,Other,FoFs Domestic,8.8,21.6,12.8
297,Icici Pru Balanced Advantage Fund,100,500,0.91,"₹44,515Cr",10,Sankaran Naren,5.59,5.34,8.33,0.54,1.84,5,ICICI Prudential Mutual Fund,4,Hybrid,Dynamic Asset Allocation or Balanced Advantage,6.7,19.7,10.4
298,Icici Pru Banking & Financial Services – Directgrowth,100,5000,1.1,"₹5,871Cr",10,Roshan Chutkey,2.23,3.74,23.41,0.87,1.06,6,ICICI Prudential Mutual Fund,3,Equity,Sectoral / Thematic Mutual Funds,7.0,24.9,9.7
299,Icici Pru Banking & Psu Debt Fund,100,500,0.38,"₹7,265Cr",10,Rahul Goswami,2.64,4.03,1.75,1.21,1.37,2,ICICI Prudential Mutual Fund,5,Debt,Banking and PSU Mutual Funds,5.8,6.9,7.2
300,Icici Pru Bharat 22 Fof  – Direct Growth,1000,5000,0.08,₹89Cr,5,Kayzad Eghlim,2.76,9.68,20.2,0.88,1.47,6,ICICI Prudential Mutual Fund,5,Other,FoFs Domestic,22.1,35.0,
301,Icici Pru Bharat Consumption Fund,100,5000,1.54,"₹1,866Cr",4,Sankaran Naren,3.37,4.95,11.73,0.6,1.6,6,ICICI Prudential Mutual Fund,3,Equity,Sectoral / Thematic Mutual Funds,10.2,22.7,
302,Icici Pru Bluechip Fund,100,100,1.06,"₹34,198Cr",10,Anish Tawakley,3.59,3.05,15.23,0.9,1.53,6,ICICI Prudential Mutual Fund,4,Equity,Large Cap Mutual Funds,4.4,28.2,12.3
303,Icici Pru Bond Fund,100,5000,0.6,"₹2,223Cr",10,Manish Banthia,1.2,1.58,2.69,1.26,0.72,3,ICICI Prudential Mutual Fund,3,Debt,Medium to Long Duration Funds,5.2,6.9,7.3
304,Icici Pru Child Care Fund,100,5000,1.69,₹844Cr,10,Manish Banthia,2.86,2.18,11.15,0.74,1.42,6,ICICI Prudential Mutual Fund,3,Solution Oriented,Childrens Funds,1.0,19.8,8.8
305,Icici Pru Corporate Bond Fund,100,100,0.3,"₹16,998Cr",10,Rahul Goswami,3.07,2.35,1.67,0.68,1.52,2,ICICI Prudential Mutual Fund,5,Debt,Corporate Bond Mutual Funds,5.8,7.0,7.3
306,Icici Pru Credit Risk Fund,100,100,0.86,"₹7,584Cr",10,Manish Banthia,3.18,3.97,1.59,0.42,2.15,4,ICICI Prudential Mutual Fund,4,Debt,Credit Risk Funds,5.8,8.0,8.1
307,Icici Pru Debt Management Fund,100,100,0.41,₹141Cr,10,Manish Banthia,3.01,2.07,1.61,0.53,1.38,3,ICICI Prudential Mutual Fund,4,Other,FoFs Domestic,5.8,6.7,7.0
308,Icici Pru Dividend Yield Equity Fund,100,5000,0.66,"₹1,258Cr",9,Mittul Kalawadia,5.06,10.39,15.42,0.83,1.94,6,ICICI Prudential Mutual Fund,0,Equity,Dividend Yield Funds,8.5,37.6,12.1
309,Icici Pru Equity & Debt Fund,100,5000,1.2,"₹21,232Cr",10,Sankaran Naren,4.15,9.56,14.26,0.84,1.75,6,ICICI Prudential Mutual Fund,5,Hybrid,Aggressive Hybrid Mutual Funds,6.8,30.6,14.3
310,Icici Pru Equity – Arbitrage Fund,1000,5000,0.39,"₹11,272Cr",10,Kayzad Eghlim,1.27,1.59,0.75,0.63,0.99,1,ICICI Prudential Mutual Fund,3,Hybrid,Arbitrage Mutual Funds,5.6,4.8,5.5
311,Icici Pru Equity Savings Fund,100,5000,0.54,"₹4,936Cr",8,Kayzad Eghlim,5.26,4.82,4.82,0.57,1.84,2,ICICI Prudential Mutual Fund,3,Hybrid,Equity Savings Mutual Funds,6.2,12.7,7.9
312,Icici Pru Exports And Services Fund,1000,5000,1.76,"₹1,040Cr",10,Sankaran Naren,4.35,6.7,14.06,0.78,1.78,6,ICICI Prudential Mutual Fund,0,Equity,Sectoral / Thematic Mutual Funds,5.7,30.7,11.4
313,Icici Pru Floating Interest Fund,100,500,0.62,"₹11,650Cr",10,Rahul Goswami,2.75,3.22,1.77,0.47,1.46,2,ICICI Prudential Mutual Fund,2,Debt,Floater Mutual Funds,6.3,7.0,7.2
314,Icici Pru Fmcg Fund,100,5000,1.44,"₹1,156Cr",10,Priyanka Khandelwal,3.73,7.44,11.56,0.47,1.61,6,ICICI Prudential Mutual Fund,0,Equity,Sectoral / Thematic Mutual Funds,21.1,24.5,13.5
315,Icici Pru Focused Equity Fund,100,5000,0.59,"₹3,920Cr",10,Sankaran Naren,3.27,4.86,15.84,0.89,1.62,6,ICICI Prudential Mutual Fund,4,Equity,Focused Funds,6.1,31.2,13.4
316,Icici Pru Gilt Fund,1000,5000,0.56,"₹2,692Cr",10,Rahul Goswami,1.22,1.87,3.2,0.69,0.82,3,ICICI Prudential Mutual Fund,5,Debt,Gilt Mutual Funds,6.3,6.7,8.4
317,Icici Pru Global Stable Equity Fund,1000,5000,1.26,₹111Cr,10,Rohan Maru,1.69,-,13.7,-,0.9,6,ICICI Prudential Mutual Fund,0,Other,FoFs Overseas,3.4,18.0,10.3
318,Icici Pru Income Optimizer Fund,1000,5000,0.26,₹272Cr,10,Dharmesh Kakkad,5.43,5.75,3.85,0.47,2.37,3,ICICI Prudential Mutual Fund,5,Other,FoFs Domestic,7.8,13.3,8.8
319,Icici Pru India Equity Fof – Direct Growth,100,500,0.88,₹62Cr,3,Dharmesh Kakkad,3.95,6.83,15.57,0.84,1.71,6,ICICI Prudential Mutual Fund,5,Other,FoFs Domestic,4.9,32.2,
320,Icici Pru India Opportunities Fund,100,5000,0.73,"₹7,644Cr",4,Sankaran Naren,3.51,9.93,19.93,0.99,1.67,6,ICICI Prudential Mutual Fund,0,Equity,Sectoral / Thematic Mutual Funds,11.7,44.7,
321,Icici Pru Infrastructure Fund,100,5000,1.64,"₹2,269Cr",10,Ihab Dalwai,4.04,11.76,20.09,0.78,1.83,6,ICICI Prudential Mutual Fund,5,Equity,Sectoral / Thematic Mutual Funds,24.3,44.0,15.1
322,Icici Pru Large & Mid Cap Fund,100,5000,1.09,"₹7,044Cr",10,Ihab Dalwai,3.99,7.49,17.05,0.92,1.68,6,ICICI Prudential Mutual Fund,4,Equity,Large & Mid Cap Funds,9.5,33.2,13.7
323,Icici Pru Liquid Fund,99,99,0.2,"₹47,245Cr",10,Rahul Goswami,4.39,1.39,0.38,0.78,0.94,3,ICICI Prudential Mutual Fund,2,Debt,Liquid Mutual Funds,5.6,4.3,5.3
324,Icici Pru Long Term Equity Fund,500,500,1.23,"₹9,819Cr",10,Harish Bihani,0.06,6.9,4.06,5.04,0.04,6,ICICI Prudential Mutual Fund,3,Equity,ELSS Mutual Funds,-0.2,27.1,11.5
325,Icici Pru Long Term Wealth Enhancement Fund,0,500,0.97,₹32Cr,5,Rajat Chandak,3.33,0.78,16.64,0.95,1.39,6,ICICI Prudential Mutual Fund,0,Equity,ELSS Mutual Funds,-0.7,33.7,11.3
326,Icici Pru Manufacturing Fund,100,5000,1.7,₹645Cr,4,Anish Tawakley,3.44,7.67,17.45,0.94,1.71,6,ICICI Prudential Mutual Fund,0,Equity,Sectoral / Thematic Mutual Funds,8.6,35.6,
327,Icici Pru Medium Term Bond Fund,1000,5000,0.77,"₹6,305Cr",10,Manish Banthia,1.69,2.74,2.28,0.69,1.29,4,ICICI Prudential Mutual Fund,4,Debt,Medium Duration Funds,5.6,7.7,7.6
328,Icici Pru Midcap Fund,100,5000,1.16,"₹3,492Cr",10,Lalit Kumar,3.32,0.33,17.76,0.96,1.62,6,ICICI Prudential Mutual Fund,3,Equity,Mid Cap Mutual Funds,3.9,32.9,11.1
329,Icici Pru Money Market Fund,100,500,0.21,"₹11,475Cr",10,Rahul Goswami,4.38,2.82,0.67,1.25,1.72,3,ICICI Prudential Mutual Fund,3,Debt,Money Market Funds,5.5,5.4,6.1
330,Icici Pru Multi-Asset Fund,100,5000,1.15,"₹16,449Cr",10,Sankaran Naren,3.99,10.44,13.67,0.81,1.85,6,ICICI Prudential Mutual Fund,4,Hybrid,Multi Asset Allocation Mutual Funds,11.3,31.3,14.2
331,Icici Pru Multicap Fund,100,5000,1.02,"₹6,929Cr",10,Sankaran Naren,3.31,3.09,16.79,0.94,1.49,6,ICICI Prudential Mutual Fund,0,Equity,Multi Cap Funds,5.7,29.1,11.8
332,Icici Pru Nifty 50 Index Fund,100,100,0.17,"₹3,977Cr",10,Kayzad Eghlim,3.46,-0.72,16.8,1,1.3,6,ICICI Prudential Mutual Fund,3,Other,Index Funds,0.9,26.1,11.9
333,Icici Pru Nifty Next 50 Index Fund,100,100,0.3,"₹2,415Cr",10,Kayzad Eghlim,1.7,-4.7,18.11,0.98,0.97,6,ICICI Prudential Mutual Fund,1,Other,Index Funds,-6.4,22.0,6.1
334,Icici Pru Overnight Fund,500,100,0.1,"₹12,837Cr",4,Rahul Goswami,-0.25,0.54,0.35,0.42,-0.05,1,ICICI Prudential Mutual Fund,3,Debt,Overnight Mutual Funds,5.4,3.9,
335,Icici Pru P.H.D Fund,100,5000,1.22,"₹2,538Cr",5,Dharmesh Kakkad,2.68,3.7,21.09,0.96,1.03,6,ICICI Prudential Mutual Fund,0,Equity,Sectoral / Thematic Mutual Funds,-6.0,25.0,
336,Icici Pru Passive Strategy Fund,1000,5000,0.06,₹93Cr,10,Dharmesh Kakkad,3.11,1.99,14.83,0.84,1.46,6,ICICI Prudential Mutual Fund,3,Other,FoFs Domestic,4.9,26.3,10.9
337,Icici Pru Regular Gold Savings Fund,100,100,0.09,₹671Cr,10,Manish Banthia,1.1,-0.21,14,0.99,0.49,5,ICICI Prudential Mutual Fund,3,Other,FoFs Domestic,14.3,11.7,13.1
338,Icici Pru Regular Savings Fund,100,5000,0.99,"₹3,212Cr",10,Manish Banthia,3.57,3.21,3.41,0.5,2,4,ICICI Prudential Mutual Fund,5,Hybrid,Conservative Hybrid Mutual Funds,5.5,11.3,9.0
339,Icici Pru Retirement Fund,100,5000,1.22,₹209Cr,4,Lalit Kumar,2.78,2.63,11.88,0.78,1.44,6,ICICI Prudential Mutual Fund,5,Solution Oriented,Retirement Funds,0.1,31.3,
340,Icici Pru Retirement Fund,100,5000,1.12,₹152Cr,4,Lalit Kumar,2.43,1.02,4.45,0.64,1.26,6,ICICI Prudential Mutual Fund,3,Solution Oriented,Retirement Funds,1.7,32.4,13.3
341,Icici Pru Retirement Fund,100,5000,1.0,₹59Cr,4,Lalit Kumar,2.16,2.1,2.28,0.93,1.04,4,ICICI Prudential Mutual Fund,3,Solution Oriented,Retirement Funds,2.0,9.9,
342,Icici Pru Retirement Fund,100,5000,1.29,₹175Cr,4,Manish Banthia,3.51,8.42,15.15,0.75,1.71,3,ICICI Prudential Mutual Fund,3,Solution Oriented,Retirement Funds,4.6,6.8,
343,Icici Pru S&P Bse Sensex Index Fund,100,100,0.16,₹694Cr,6,Kayzad Eghlim,3.24,-1.12,16.97,1,1.27,6,ICICI Prudential Mutual Fund,4,Other,Index Funds,1.4,25.8,12.9
344,Icici Pru Savings Fund,100,100,0.4,"₹21,144Cr",10,Rahul Goswami,2.65,3,1.3,0.87,1.41,2,ICICI Prudential Mutual Fund,2,Debt,Low Duration Funds,5.7,6.2,6.7
345,Icici Pru Short Term Fund,1000,5000,0.39,"₹14,561Cr",10,Manish Banthia,3.78,4.86,1.7,1.42,1.75,3,ICICI Prudential Mutual Fund,4,Debt,Short Duration Funds,6.4,7.5,7.7
346,Icici Pru Smallcap Fund,100,5000,0.81,"₹4,618Cr",10,Harish Bihani,4.72,8.49,18.41,0.82,1.94,6,ICICI Prudential Mutual Fund,3,Equity,Small Cap Mutual Funds,7.7,41.8,14.9
347,Icici Pru Technology Fund,100,5000,0.99,"₹8,993Cr",10,Vaibhav Dusad,2.41,9.3,23.4,0.92,1.48,6,ICICI Prudential Mutual Fund,0,Equity,Sectoral / Thematic Mutual Funds,-19.7,45.3,21.6
348,Icici Pru Thematic Advantage Fund,1000,5000,0.25,₹958Cr,10,Dharmesh Kakkad,4.13,6.63,18.22,0.98,1.63,6,ICICI Prudential Mutual Fund,0,Other,FoFs Domestic,5.4,35.4,14.6
349,Icici Pru Ultra Short Term Fund,1000,5000,0.39,"₹12,447Cr",10,Manish Banthia,4.76,2.36,0.68,0.54,2.4,3,ICICI Prudential Mutual Fund,4,Debt,Ultra Short Duration Funds,5.7,5.9,6.7
350,Icici Pru Us Bluechip Equity Fund,100,5000,1.22,"₹2,365Cr",10,Rohan Maru,1.69,-,19.18,-,0.88,6,ICICI Prudential Mutual Fund,0,Equity,Sectoral / Thematic Mutual Funds,4.8,23.4,15.9
351,Icici Pru Value Discovery Fund,100,1000,1.22,"₹27,449Cr",10,Sankaran Naren,4.4,11.82,14.61,0.8,2.04,6,ICICI Prudential Mutual Fund,4,Equity,Value Funds,8.9,36.9,14.9
352,Idbi Banking & Financial Services Fund,500,5000,1.5,₹81Cr,5,Alok Ranjan,1.99,-1.2,22.62,0.86,0.88,6,IDBI Mutual Fund,2,Equity,Sectoral / Thematic Mutual Funds,4.8,20.3,
353,Idbi Credit Risk Fund,500,5000,0.61,₹22Cr,9,Raju Sharma,3.09,3.08,6.23,-2.49,1.03,4,IDBI Mutual Fund,3,Debt,Credit Risk Funds,4.3,11.3,3.7
354,Idbi Dividend Yield Fund,500,5000,1.5,₹85Cr,4,Alok Ranjan,2.79,1.29,14.28,0.81,1.43,6,IDBI Mutual Fund,0,Equity,Dividend Yield Funds,0.1,25.2,
355,Idbi Equity Advantage Fund,500,500,1.21,₹455Cr,10,Alok Ranjan,2.4,-1.93,14.59,0.8,1.15,6,IDBI Mutual Fund,2,Equity,ELSS Mutual Funds,-0.7,33.7,11.3
356,Idbi Equity Savings Fund,500,5000,1.15,₹10Cr,10,Alok Ranjan,2.48,0.39,7.12,1.05,1.11,4,IDBI Mutual Fund,2,Hybrid,Equity Savings Mutual Funds,2.5,11.8,7.2
