,Scheme_Name,Min_Sip,Min_Lumpsum,Expense_Ratio,Fund_Size_Cr,Fund_Age_Yr,Fund_Manager,Sortino,Alpha,Sd,Beta,Sharpe,Risk_Level,Amc_Name,Rating,Category,Sub_Category,Returns_1Yr,Returns_3Yr,Returns_5Yr,Score,fund_score,rank,composite_score,Rank
398,Invesco India Medium Duration Fund,1000,1000,0.4,₹306Cr,2,Vikas Garg,2.87,1.855,12.3,0.86,1.29,3,Invesco Mutual Fund,2,Debt,Medium Duration Funds,3.5,3.5,8.9,2.9209999999999994,0.26551267819116187,351.0,0.4053551112192121,251.0
399,Invesco India Midcap Fund,500,1000,0.72,"₹2,618Cr",10,Pranav Gokhale,3.31,-0.38,15.97,0.86,1.56,6,Invesco Mutual Fund,3,Equity,Mid Cap Mutual Funds,0.2,0.2,14.6,4.188500000000001,0.308642032594475,127.0,0.42015708831666293,168.0
400,Invesco India Money Market Fund,1000,1000,0.22,"₹2,294Cr",10,Krishna Cheemalapati,1.82,3.07,0.8,1.61,1.14,2,Invesco Mutual Fund,2,Debt,Money Market Funds,5.0,5.0,5.8,2.7504999999999997,0.23493988774487196,543.0,0.39506011531120033,340.0
401,Invesco India Multicap Fund,500,1000,0.65,"₹2,347Cr",10,Pranav Gokhale,2.86,2.38,16.67,0.91,1.43,6,Invesco Mutual Fund,0,Equity,Multi Cap Funds,1.4,1.4,11.0,3.150499999999999,0.28185796174718347,250.0,0.4009469759798576,285.0
402,Invesco India Overnight Fund,100,1000,0.09,₹337Cr,3,Krishna Cheemalapati,-0.3,0.55,0.35,0.42,-0.06,1,Invesco Mutual Fund,3,Debt,Overnight Mutual Funds,5.3,5.3,8.9,3.175,0.20299466767990548,724.0,0.38824635472746566,406.0
403,Invesco India Psu Equity Fund,500,1000,0.96,₹394Cr,10,Dhimant Kothari,2.73,3.08,18.45,0.66,1.19,6,Invesco Mutual Fund,0,Equity,Sectoral / Thematic Mutual Funds,16.2,16.2,12.6,3.6305,0.3073269726401219,130.0,0.42408372485347934,146.0
404,Invesco India Short Term Fund,1000,1000,0.35,₹350Cr,10,Vikas Garg,1.31,4.41,1.93,2.19,0.76,2,Invesco Mutual Fund,2,Debt,Short Duration Funds,3.9,3.9,6.8,3.1505,0.2266123562202885,610.0,0.3819368025476295,459.0
405,Invesco India Smallcap Fund,500,1000,0.78,"₹1,400Cr",4,Taher Badshah,3.38,3.51,18.25,0.82,1.7,6,Invesco Mutual Fund,3,Equity,Small Cap Mutual Funds,3.5,3.5,8.9,3.1694999999999998,0.2802291353828757,260.0,0.39102862709590364,386.0
406,Invesco India Tax Plan – Direct Growth,500,500,0.92,"₹1,833Cr",10,Amit Nigam,2.21,-2.63,16.3,0.94,1.19,6,Invesco Mutual Fund,3,Equity,Elss Mutual Funds,-5.2,-5.2,10.8,2.494,0.23116344944118958,573.0,0.3484489941504968,654.0
407,Invesco India Treasury Advantage Fund,100,1000,0.32,"₹1,230Cr",10,Krishna Cheemalapati,2.9,2.95,0.93,1.27,1.34,2,Invesco Mutual Fund,2,Debt,Low Duration Funds,4.9,4.9,6.4,2.9519999999999995,0.2523095480959297,437.0,0.39971351086572243,294.0
408,Invesco India Ultra Short Term Fund,1000,1000,0.24,₹818Cr,10,Krishna Cheemalapati,3.4,2.51,0.57,1.2,1.59,2,Invesco Mutual Fund,3,Debt,Ultra Short Duration Funds,5.4,5.4,6.0,2.9695,0.262005098461482,376.0,0.41077705044160534,226.0
409,Iti Arbitrage Fund,500,5000,0.22,₹7Cr,4,Vikrant Mehta,-1.02,-0.04,0.65,0.31,-0.71,1,Iti Mutual Fund,1,Hybrid,Arbitrage Mutual Funds,3.9,3.9,8.9,2.6109999999999998,0.1680104397999191,788.0,0.35674350349872624,615.0
410,Iti Balanced Advantage Fund,500,5000,0.35,₹452Cr,3,Dhimant Shah,2.56,-0.95,11.13,0.59,0.88,6,Iti Mutual Fund,1,Hybrid,Dynamic Asset Allocation Or Balanced Advantage,-0.2,-0.2,8.9,2.2024999999999997,0.23424095447711554,551.0,0.3847997630273189,429.0
411,Iti Banking & Psu Debt Fund,500,5000,0.15,₹27Cr,2,Vikrant Mehta,2.87,1.855,12.3,0.86,1.29,2,Iti Mutual Fund,5,Debt,Banking And Psu Mutual Funds,5.4,5.4,8.9,3.383499999999999,0.274707471713559,300.0,0.4285208871352408,119.0
412,Iti Dynamic Bond Fund,500,5000,0.14,₹57Cr,2,Vikrant Mehta,2.87,1.855,12.3,0.86,1.29,2,Iti Mutual Fund,5,Debt,Dynamic Bond,5.7,5.7,8.9,3.3839999999999995,0.27544735647771074,292.0,0.4300428670090912,110.0
413,Iti Liquid Fund,500,5000,0.09,₹31Cr,4,Vikrant Mehta,-0.02,0.63,0.37,0.47,0.0,1,Iti Mutual Fund,2,Debt,Liquid Mutual Funds,5.5,5.5,8.9,3.0494999999999997,0.20758167692855306,702.0,0.3913023130152279,382.0
414,Iti Long Term Equity Fund,500,500,0.44,₹156Cr,3,Dhimant Shah,3.29,0.26,15.59,0.86,1.31,6,Iti Mutual Fund,2,Equity,Elss Mutual Funds,5.6,5.6,8.9,2.4395,0.2657621240989671,350.0,0.40799893476865695,242.0
415,Iti Overnight Fund,500,5000,0.08,₹26Cr,3,Vikrant Mehta,-1.11,0.48,0.34,0.42,-0.22,1,Iti Mutual Fund,1,Debt,Overnight Mutual Funds,5.2,5.2,8.9,2.83,0.19163299044525522,757.0,0.3821081010540491,457.0
416,Iti Small Cap Fund,500,5000,0.44,"₹1,015Cr",3,Dhimant Shah,2.41,-4.78,21.23,0.95,1.27,6,Iti Mutual Fund,1,Equity,Small Cap Mutual Funds,6.5,6.5,8.9,0.9870000000000001,0.24099650901529968,506.0,0.4003148384488567,290.0
417,Iti Ultra Short Duration Fund,500,5000,0.1,₹119Cr,2,Vikrant Mehta,2.87,1.855,12.3,0.86,1.29,2,Iti Mutual Fund,2,Debt,Ultra Short Duration Funds,5.3,5.3,8.9,2.9359999999999995,0.27574908822534744,291.0,0.43187829481014084,105.0
418,Jm Arbitrage Fund,500,5000,0.36,₹60Cr,10,Asit Bhandarkar,-0.31,0.56,0.72,0.55,-0.23,1,Jm Financial Mutual Fund,1,Hybrid,Arbitrage Mutual Funds,5.4,5.4,4.5,1.4844999999999997,0.1502631861700781,804.0,0.332947332720962,716.0
419,Jm Dynamic Bond Fund,1000,5000,0.63,₹43Cr,10,Gurvinder Singh Wasan,1.64,1.34,1.61,0.65,0.95,2,Jm Financial Mutual Fund,4,Debt,Dynamic Bond,4.8,4.8,6.1,2.7435,0.21452610168471276,673.0,0.3585919292341522,608.0
420,Jm Equity Hybrid Fund,500,5000,1.37,₹11Cr,10,Asit Bhandarkar,3.79,5.95,17.44,1.0,1.4,6,Jm Financial Mutual Fund,4,Hybrid,Aggressive Hybrid Mutual Funds,8.0,8.0,11.2,4.4395,0.29577898589500334,170.0,0.37484855089641783,506.0
421,Jm Flexicap Fund,500,5000,1.62,₹255Cr,10,Gurvinder Singh Wasan,3.67,1.75,16.28,0.9,1.4,6,Jm Financial Mutual Fund,4,Equity,Flexi Cap Funds,5.2,5.2,13.8,4.429999999999999,0.2926788302710197,186.0,0.36261335145181295,591.0
422,Jm Focused Fund,500,5000,1.58,₹42Cr,10,Gurvinder Singh Wasan,2.5,-2.98,16.71,0.93,1.08,6,Jm Financial Mutual Fund,1,Equity,Focused Funds,3.1,3.1,8.6,1.3889999999999993,0.20580306337674562,713.0,0.3045976334312685,778.0
423,Jm Large Cap Fund,500,5000,1.8,₹44Cr,10,Gurvinder Singh Wasan,2.94,-0.69,12.03,0.67,1.2,6,Jm Financial Mutual Fund,5,Equity,Large Cap Mutual Funds,1.8,1.8,10.4,3.2470000000000003,0.2308383982617771,575.0,0.30515771266292874,775.0
424,Jm Liquid Fund,1000,5000,0.15,"₹1,426Cr",10,Shalini Tibrewala,3.82,1.22,0.36,0.68,0.86,2,Jm Financial Mutual Fund,4,Debt,Liquid Mutual Funds,5.6,5.6,5.3,2.5465000000000004,0.23173122595097548,568.0,0.39505983535511385,341.0
425,Jm Low Duration Fund,1000,5000,0.34,₹151Cr,10,Shalini Tibrewala,12.57,9.03,11.61,1.19,0.64,2,Jm Financial Mutual Fund,4,Debt,Low Duration Funds,5.1,5.1,5.3,3.4669999999999996,0.307896033422864,129.0,0.41570536351873455,202.0
426,Jm Medium To Long Duration Fund,1000,5000,0.48,₹19Cr,10,Gurvinder Singh Wasan,0.28,0.23,3.03,1.39,0.2,3,Jm Financial Mutual Fund,2,Debt,Medium To Long Duration Funds,2.5,2.5,3.1,1.0710000000000002,0.14635653744757704,806.0,0.31897345613153194,754.0
427,Jm Tax Gain Fund,500,500,1.45,₹70Cr,10,Gurvinder Singh Wasan,2.94,0.39,16.56,0.93,1.35,6,Jm Financial Mutual Fund,3,Equity,Elss Mutual Funds,0.9,0.9,12.8,3.6910000000000003,0.268601089864921,333.0,0.35084559259135534,645.0
428,Jm Value Fund,500,5000,1.87,₹163Cr,10,Gurvinder Singh Wasan,3.94,4.56,16.13,0.89,1.53,6,Jm Financial Mutual Fund,2,Equity,Value Funds,7.7,7.7,12.4,4.2935,0.2947436193889982,176.0,0.34826950365474085,655.0
429,Kotak Balanced Advantage Fund,1000,1000,0.48,"₹14,279Cr",5,Harish Krishnan,4.01,3.56,8.76,0.56,1.59,6,Kotak Mahindra Mutual Fund,3,Hybrid,Dynamic Asset Allocation Or Balanced Advantage,5.5,5.5,8.9,3.6600000000000006,0.2919228621403421,191.0,0.417458139386728,190.0
430,Kotak Banking And Psu Debt Fund,1000,5000,0.37,"₹5,256Cr",10,Deepak Agrawal,1.87,4.03,2.03,1.45,1.03,3,Kotak Mahindra Mutual Fund,3,Debt,Banking And Psu Mutual Funds,4.7,4.7,7.5,3.5195,0.24669446324394464,474.0,0.3944547542095506,349.0
431,Kotak Bluechip Fund,100,1000,0.64,"₹5,259Cr",10,Harish Krishnan,3.48,1.75,15.3,0.91,1.45,6,Kotak Mahindra Mutual Fund,5,Equity,Large Cap Mutual Funds,3.3,3.3,12.6,4.327499999999999,0.3025948969374118,141.0,0.42028981190997255,165.0
432,Kotak Bond – Short Term Fund,1000,5000,0.36,"₹12,203Cr",10,Deepak Agrawal,1.89,4.73,1.76,2.06,1.12,3,Kotak Mahindra Mutual Fund,3,Debt,Short Duration Funds,4.4,4.4,7.2,3.571,0.24870812131343578,460.0,0.3960083563869853,326.0
433,Kotak Bond Fund,1000,5000,0.63,"₹1,584Cr",10,Abhishek Bisen,0.72,1.47,3.19,1.57,0.6,2,Kotak Mahindra Mutual Fund,3,Debt,Medium To Long Duration Funds,4.1,4.1,7.7,2.9045000000000005,0.20874865846921042,696.0,0.3585754158130735,609.0
434,Kotak Corporate Bond Fund,1000,5000,0.32,"₹8,880Cr",10,Deepak Agrawal,2.25,1.73,1.54,0.59,1.23,2,Kotak Mahindra Mutual Fund,3,Debt,Corporate Bond Mutual Funds,4.5,4.5,7.1,3.0494999999999997,0.24612585145474028,477.0,0.39656267336792395,323.0
435,Kotak Credit Risk Fund,1000,5000,0.74,"₹1,204Cr",10,Deepak Agrawal,0.42,0.82,2.92,-0.4,0.47,5,Kotak Mahindra Mutual Fund,2,Debt,Credit Risk Funds,1.6,1.6,6.4,2.315,0.18369103782854398,771.0,0.32695057848897596,736.0
436,Kotak Debt Hybrid Fund,1000,5000,0.44,"₹1,650Cr",10,Devender Singhal,3.44,4.79,4.73,0.7,2.06,4,Kotak Mahindra Mutual Fund,5,Hybrid,Conservative Hybrid Mutual Funds,6.1,6.1,10.0,4.826499999999999,0.32058479371011267,101.0,0.4405546752977406,74.0
437,Kotak Dynamic Bond Fund,1000,5000,0.4,"₹1,992Cr",10,Deepak Agrawal,1.0,1.66,2.95,1.32,0.69,3,Kotak Mahindra Mutual Fund,4,Debt,Dynamic Bond,3.9,3.9,7.8,3.1765,0.22098836915178866,637.0,0.378391654306909,481.0
438,Kotak Emerging Equity Fund,100,100,0.49,"₹23,962Cr",10,Pankaj Tibrewal,3.73,3.18,16.42,0.9,1.82,6,Kotak Mahindra Mutual Fund,4,Equity,Mid Cap Mutual Funds,6.6,6.6,15.2,5.269499999999999,0.3553374007828457,42.0,0.47012245803139735,26.0
439,Kotak Equity Arbitrage Fund,1000,5000,0.43,"₹21,917Cr",10,Hiten Shah,1.46,1.66,0.75,0.54,1.26,1,Kotak Mahindra Mutual Fund,4,Hybrid,Arbitrage Mutual Funds,5.8,5.8,5.6,2.7779999999999996,0.22722832752657104,600.0,0.37884120587385783,477.0
440,Kotak Equity Hybrid Fund,1000,5000,0.58,"₹3,269Cr",8,Pankaj Tibrewal,3.89,7.32,11.76,0.79,1.86,6,Kotak Mahindra Mutual Fund,0,Hybrid,Aggressive Hybrid Mutual Funds,5.0,5.0,12.8,5.0195,0.3464690849251725,53.0,0.4481962594541482,55.0
441,Kotak Equity Opportunities – Direct Growth,500,500,0.6,"₹11,608Cr",10,Harsha Upadhyaya,3.43,4.72,14.62,0.84,1.64,6,Kotak Mahindra Mutual Fund,4,Equity,Large & Mid Cap Funds,6.2,6.2,13.9,5.239,0.3375681043243567,74.0,0.4481870569750871,56.0
442,Kotak Equity Savings Fund,1000,5000,1.02,"₹2,097Cr",8,Devender Singhal,4.22,4.5,5.64,0.79,1.8,4,Kotak Mahindra Mutual Fund,4,Hybrid,Equity Savings Mutual Funds,6.6,6.6,9.2,4.247499999999999,0.29534064324284703,171.0,0.3904862995357188,392.0
443,Kotak Flexi Cap Fund,500,5000,0.68,"₹35,775Cr",10,Harsha Upadhyaya,2.7,0.11,15.22,0.88,1.37,6,Kotak Mahindra Mutual Fund,3,Equity,Flexi Cap Funds,3.8,3.8,11.7,3.417,0.27999435675082973,261.0,0.40550381291964566,250.0
444,Kotak Floating Rate Fund,1000,5000,0.22,"₹4,796Cr",4,Deepak Agrawal,1.86,3.79,2.35,1.03,1.02,2,Kotak Mahindra Mutual Fund,2,Debt,Floater Mutual Funds,4.6,4.6,8.9,3.752,0.2622336019646118,374.0,0.4141904931146153,209.0
445,Kotak Focused Equity Fund,1000,5000,0.51,"₹2,447Cr",4,Shibani Kurian,2.85,1.39,15.69,0.9,1.44,6,Kotak Mahindra Mutual Fund,3,Equity,Focused Funds,0.5,0.5,8.9,2.831,0.2611454892783755,383.0,0.39227817775748025,374.0
446,Kotak Gilt – Invest Plan – Direct Growth,1000,5000,0.41,"₹1,699Cr",10,Abhishek Bisen,0.81,1.3,3.24,0.7,0.64,2,Kotak Mahindra Mutual Fund,4,Debt,Gilt Mutual Funds,5.2,5.2,8.4,3.2905,0.22484966361015551,622.0,0.38242787305865183,452.0
447,Kotak Gilt Invest – Pf & Trust Plan – Direct Growth,1000,5000,0.41,"₹1,699Cr",10,Abhishek Bisen,0.81,1.3,3.23,0.7,0.64,2,Kotak Mahindra Mutual Fund,4,Debt,Gilt Mutual Funds,5.2,5.2,8.4,3.291,0.22484966361015551,622.0,0.38242787305865183,452.0
448,Kotak Gold Fund,1000,5000,0.18,"₹1,406Cr",10,Abhishek Bisen,1.08,-0.32,13.51,0.97,0.48,5,Kotak Mahindra Mutual Fund,3,Other,Fofs Domestic,14.2,14.2,13.7,3.8589999999999995,0.2838955345692437,238.0,0.45746467593228407,41.0
449,Kotak India Eq Contra Fund,1000,5000,0.81,"₹1,440Cr",10,Shibani Kurian,3.35,4.24,15.95,0.92,1.57,6,Kotak Mahindra Mutual Fund,4,Equity,Contra Funds,7.3,7.3,14.2,5.137999999999999,0.3322121481885923,82.0,0.43571543338032404,87.0
450,Kotak India Growth Fund,0,5000,0.34,₹90Cr,5,Devender Singhal,3.71,7.67,17.23,0.95,1.75,6,Kotak Mahindra Mutual Fund,0,Equity,Multi Cap Funds,4.8,4.8,15.6,5.637999999999998,0.3735963086455484,27.0,0.4830523875221006,19.0
451,Kotak Infrastructure & Ecoc. Reform-Sp-Dirgrowth,1000,5000,1.0,₹727Cr,10,Harish Krishnan,4.55,14.15,16.65,0.6,2.0,6,Kotak Mahindra Mutual Fund,4,Equity,Sectoral / Thematic Mutual Funds,23.2,23.2,13.9,7.0875,0.4115601509972268,11.0,0.4878756045482784,17.0
452,Kotak Liquid Fund,1000,100,0.15,"₹33,220Cr",10,Deepak Agrawal,3.68,1.33,0.38,0.76,0.85,3,Kotak Mahindra Mutual Fund,2,Debt,Liquid Mutual Funds,5.6,5.6,5.3,2.2615,0.2307083639438754,576.0,0.3945840972705933,346.0
453,Kotak Low Duration Fund,1000,5000,0.43,"₹7,420Cr",10,Deepak Agrawal,2.67,2.9,1.3,0.78,1.43,3,Kotak Mahindra Mutual Fund,3,Debt,Low Duration Funds,5.4,5.4,6.9,3.2605,0.2570413690813013,404.0,0.397287065874906,316.0
454,Kotak Medium Term Fund,1000,5000,0.58,"₹1,934Cr",9,Deepak Agrawal,0.71,2.04,3.41,0.79,0.66,3,Kotak Mahindra Mutual Fund,4,Debt,Medium Duration Funds,4.0,4.0,6.6,2.881,0.20487362282249444,716.0,0.3548771079757054,626.0
455,Kotak Money Market Fund,0,5000,0.26,"₹14,248Cr",10,Deepak Agrawal,4.43,2.59,0.51,1.2,1.92,3,Kotak Mahindra Mutual Fund,3,Debt,Money Market Funds,5.6,5.6,6.1,3.0835000000000004,0.28165378567806526,252.0,0.421885498936249,155.0
456,Kotak Multi Asset Allocator Fof – Dynamic – Direct Growth,1000,5000,0.13,₹783Cr,10,Devender Singhal,4.33,8.04,10.99,0.7,1.91,5,Kotak Mahindra Mutual Fund,0,Other,Fofs Domestic,11.2,11.2,15.3,5.988999999999999,0.3981087487335356,16.0,0.5190505491836203,7.0
457,Kotak Overnight Fund,0,5000,0.07,"₹8,999Cr",4,Deepak Agrawal,-0.1,0.56,0.35,0.42,-0.02,1,Kotak Mahindra Mutual Fund,3,Debt,Overnight Mutual Funds,5.4,5.4,8.9,3.186,0.20645800685569632,707.0,0.39159273514752746,378.0
458,Kotak Savings Fund,1000,5000,0.37,"₹12,325Cr",10,Deepak Agrawal,4.14,2.57,0.58,1.12,1.85,3,Kotak Mahindra Mutual Fund,3,Debt,Ultra Short Duration Funds,5.5,5.5,6.2,3.0905,0.2753382108700728,294.0,0.41162525934586275,221.0
459,Kotak Small Cap Fund,500,500,0.59,"₹8,617Cr",10,Pankaj Tibrewal,4.06,8.99,18.26,0.81,1.98,6,Kotak Mahindra Mutual Fund,4,Equity,Small Cap Mutual Funds,-0.7,-0.7,17.0,6.911,0.3866967118174035,22.0,0.46853256407783106,28.0
460,Kotak Tax Saver Fund,500,500,0.69,"₹3,167Cr",10,Harsha Upadhyaya,3.36,4.69,14.44,0.83,1.68,6,Kotak Mahindra Mutual Fund,4,Equity,Elss Mutual Funds,5.0,5.0,14.4,5.396000000000001,0.3387765155862477,71.0,0.44276617416953407,72.0
461,L&T Focused Equity Fund,500,5000,1.09,₹946Cr,4,Venugopal Manghat,2.87,1.855,12.3,0.86,1.29,6,L&T Mutual Fund,3,Equity,Focused Funds,-0.7,-0.7,11.3,3.7565,0.26384728931647067,359.0,0.3617747381039552,594.0
462,L&T India Large Cap Fund,500,5000,1.49,₹757Cr,10,Venugopal Manghat,2.6,-2.34,16.62,0.97,1.18,6,L&T Mutual Fund,2,Equity,Large Cap Mutual Funds,0.8,0.8,12.1,2.7439999999999993,0.24267208688718644,499.0,0.33414211809757555,713.0
463,Lic Mf Arbitrage Fund,1000,5000,0.31,₹27Cr,4,Jaiprakash Toshniwal,0.67,1.23,0.78,0.6,0.55,1,Lic Mutual Fund,2,Hybrid,Arbitrage Mutual Funds,5.5,5.5,8.9,3.2415,0.2281308982940925,593.0,0.39135231889850286,381.0
464,Lic Mf Banking & Fina Serv Fund,1000,5000,1.54,₹121Cr,8,Jaiprakash Toshniwal,2.19,0.9,22.14,0.85,0.97,6,Lic Mutual Fund,2,Equity,Sectoral / Thematic Mutual Funds,13.9,13.9,8.5,1.9974999999999998,0.23227239593727156,565.0,0.33652341893272225,706.0
465,Lic Mf Banking & Psu Debt Fund,1000,5000,0.28,"₹1,190Cr",10,Marzban Irani,1.49,3.94,1.53,2.05,0.78,2,Lic Mutual Fund,3,Debt,Banking And Psu Mutual Funds,4.2,4.2,6.8,3.2410000000000005,0.2291994065383917,588.0,0.38812836630184655,408.0
466,Lic Mf Bond Fund,1000,5000,0.21,₹111Cr,10,Marzban Irani,0.32,0.23,2.6,1.24,0.22,3,Lic Mutual Fund,2,Debt,Medium To Long Duration Funds,4.4,4.4,6.2,2.0475000000000003,0.18559417365798406,768.0,0.36669814138277024,563.0
467,Lic Mf Children’S Gift Fund,1000,5000,1.86,₹12Cr,10,Karan Desai,2.54,-3.65,13.05,0.9,0.99,6,Lic Mutual Fund,1,Solution Oriented,Childrens Funds,-1.9,-1.9,7.6,1.1074999999999997,0.1763098504949286,780.0,0.2608930909813373,809.0
468,Lic Mf Debt Hybrid Fund,1000,5000,1.34,₹61Cr,10,Karan Desai,2.11,-0.54,4.14,0.61,0.92,4,Lic Mutual Fund,3,Hybrid,Conservative Hybrid Mutual Funds,2.5,2.5,6.7,2.2314999999999996,0.1943987937441643,747.0,0.30400388207982076,780.0
469,Lic Mf Equity Hybrid Fund,1000,5000,1.43,₹378Cr,10,Karan Desai,2.26,-2.85,11.49,0.77,0.99,6,Lic Mutual Fund,1,Hybrid,Aggressive Hybrid Mutual Funds,-0.5,-0.5,8.3,1.5835000000000004,0.196609696371989,742.0,0.3007361283970724,784.0
470,Lic Mf Flexi Cap Fund,1000,5000,1.74,₹383Cr,10,Amit Nadekar,2.15,-4.31,14.27,0.8,1.02,6,Lic Mutual Fund,2,Equity,Flexi Cap Funds,-0.9,-0.9,8.8,1.4414999999999998,0.18787151138202146,764.0,0.2794221708141262,800.0
471,Lic Mf G-Sec Fund,1000,5000,0.76,₹46Cr,10,Marzban Irani,0.51,0.27,2.23,0.45,0.35,2,Lic Mutual Fund,3,Debt,Gilt Mutual Funds,3.3,3.3,7.7,2.7119999999999997,0.19124412474517682,758.0,0.33755550913410365,700.0
472,Lic Mf Infrastructure Fund,1000,5000,1.47,₹90Cr,10,Yogesh Patil,3.89,7.11,16.12,0.57,1.56,6,Lic Mutual Fund,3,Equity,Sectoral / Thematic Mutual Funds,6.7,6.7,11.2,4.635999999999999,0.3022941030934311,144.0,0.3690338806896378,552.0
473,Lic Mf Large & Mid Cap Fund,1000,5000,0.84,"₹1,888Cr",8,Yogesh Patil,2.59,0.78,14.89,0.84,1.34,6,Lic Mutual Fund,3,Equity,Large & Mid Cap Funds,-4.3,-4.3,10.9,3.3155000000000006,0.25607356051088803,412.0,0.36621722446708393,567.0
474,Lic Mf Large Cap Fund,1000,5000,1.39,₹648Cr,10,Yogesh Patil,2.37,-3.35,15.42,0.88,1.08,6,Lic Mutual Fund,2,Equity,Large Cap Mutual Funds,-3.2,-3.2,10.9,2.2315,0.218783136057665,647.0,0.3174953415250556,758.0
475,Lic Mf Liquid Fund,1000,5000,0.16,"₹5,996Cr",10,Rahul Singh,4.72,1.33,0.37,0.73,0.97,3,Lic Mutual Fund,3,Debt,Liquid Mutual Funds,5.6,5.6,5.3,2.437,0.24190698186214102,502.0,0.4002103992616279,292.0
476,Lic Mf Nifty 50 Index Fund,1000,5000,0.2,₹53Cr,10,Jaiprakash Toshniwal,3.44,-0.85,16.75,1.0,1.3,6,Lic Mutual Fund,3,Other,Index Funds,1.0,1.0,11.7,3.1525000000000003,0.2859706039106422,227.0,0.43279061776835565,99.0
477,Lic Mf Overnight Fund,1000,5000,0.07,₹951Cr,4,Rahul Singh,0.11,0.57,0.35,0.42,0.02,1,Lic Mutual Fund,4,Debt,Overnight Mutual Funds,5.4,5.4,8.9,3.346,0.20934187629421042,692.0,0.39325892697786036,368.0
478,Lic Mf S&P Bse Sensex Index Fund,1000,5000,0.38,₹68Cr,10,Jaiprakash Toshniwal,3.4,-1.81,16.89,1.0,1.23,6,Lic Mutual Fund,3,Other,Index Funds,2.2,2.2,12.6,3.2005,0.2856127986510113,231.0,0.42659527562205113,128.0
479,Lic Mf Savings Fund,1000,5000,0.27,₹707Cr,10,Rahul Singh,4.54,2.95,1.02,1.01,1.57,2,Lic Mutual Fund,3,Debt,Low Duration Funds,5.0,5.0,5.6,2.9189999999999996,0.26609213271900845,345.0,0.4084105842596828,239.0
480,Lic Mf Short Term Debt Fund,1000,5000,0.37,₹110Cr,4,Marzban Irani,1.26,4.66,1.61,2.57,0.76,3,Lic Mutual Fund,2,Debt,Short Duration Funds,3.7,3.7,8.9,3.8265000000000002,0.2450928478152512,481.0,0.3959840555841723,327.0
481,Lic Mf Tax Plan – Direct Growth,500,500,1.47,₹401Cr,10,Amit Nadekar,2.55,-0.72,14.61,0.81,1.25,6,Lic Mutual Fund,2,Equity,Elss Mutual Funds,-1.9,-1.9,9.9,2.5314999999999994,0.22679421763402224,607.0,0.31551702974737306,762.0
482,Lic Mf Ultra Short Term Fund,1000,5000,0.3,₹40Cr,3,Rahul Singh,1.98,1.33,0.39,0.75,0.85,1,Lic Mutual Fund,1,Debt,Ultra Short Duration Funds,5.0,5.0,8.9,3.1839999999999997,0.2472139987950701,472.0,0.402552579232381,272.0
483,Mahindra Manulife Aggressive Hybrid Fund,500,1000,0.65,₹615Cr,4,Fatema Pacha,3.57,4.52,12.44,0.85,1.62,6,Mahindra Manulife Mutual Fund,4,Hybrid,Aggressive Hybrid Mutual Funds,2.7,2.7,8.9,3.8009999999999993,0.284291585965362,235.0,0.3984259357111834,311.0
484,Mahindra Manulife Consumption Fund,500,1000,0.82,₹54Cr,4,Abhinav Khandelwal,2.76,0.66,14.14,0.77,1.33,6,Mahindra Manulife Mutual Fund,0,Equity,Sectoral / Thematic Mutual Funds,5.7,5.7,8.9,2.2815000000000003,0.25534338742363605,423.0,0.3797131733143643,472.0
485,Mahindra Manulife Dynamic Bond Fund,500,1000,0.51,₹66Cr,5,Rahul Pal,-0.01,-0.19,1.7,0.65,-0.01,3,Mahindra Manulife Mutual Fund,2,Debt,Dynamic Bond,3.4,3.4,8.9,2.787,0.1904013876424896,761.0,0.35432228149160905,629.0
486,Mahindra Manulife Elss Fund,500,500,0.73,₹525Cr,6,Fatema Pacha,3.64,2.66,16.21,0.94,1.53,6,Mahindra Manulife Mutual Fund,3,Equity,Elss Mutual Funds,2.3,2.3,12.0,3.9939999999999998,0.30046789721798706,152.0,0.4102768064072272,231.0
487,Mahindra Manulife Equity Savings Fund,500,1000,0.7,₹418Cr,6,Fatema Pacha,3.1,3.84,8.16,1.24,1.56,4,Mahindra Manulife Mutual Fund,4,Hybrid,Equity Savings Mutual Funds,1.7,1.7,13.3,5.164999999999999,0.3133288244677196,119.0,0.4210440221004561,158.0
488,Mahindra Manulife Large & Mid Cap Fund,500,1000,0.51,"₹1,056Cr",3,Manish Lodha,3.07,4.98,15.69,0.88,1.61,6,Mahindra Manulife Mutual Fund,5,Equity,Large & Mid Cap Funds,-1.1,-1.1,8.9,3.884,0.2791878133903539,268.0,0.39710416566445506,318.0
489,Mahindra Manulife Large Cap Fund,500,1000,0.67,₹215Cr,4,Abhinav Khandelwal,2.71,-1.04,15.36,0.9,1.25,6,Mahindra Manulife Mutual Fund,4,Equity,Large Cap Mutual Funds,0.3,0.3,8.9,2.4654999999999996,0.24042758617879534,508.0,0.3722937773265508,528.0
490,Mahindra Manulife Liquid Fund,0,1000,0.15,₹514Cr,7,Rahul Pal,5.26,1.41,0.37,0.74,1.15,3,Mahindra Manulife Mutual Fund,5,Debt,Liquid Mutual Funds,5.7,5.7,5.4,2.8190000000000004,0.2534994274478186,429.0,0.4080756704161631,241.0
